Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,7,03.02,04.07,01.07,iris-versicolor
2,06.04,03.02,04.05,01.05,iris-versicolor
3,06.09,03.01,04.09,01.05,iris-versicolor
4,05.05,02.03,4,01.03,iris-versicolor
5,06.05,02.08,04.06,01.05,iris-versicolor
6,05.07,02.08,04.05,01.03,iris-versicolor
7,06.03,03.03,04.07,01.06,iris-versicolor
8,04.09,02.04,03.03,3,iris-versicolor
9,06.06,02.09,04.06,01.03,iris-versicolor
10,05.02,02.07,03.09,01.04,iris-versicolor
11,5,2,03.05,1,iris-versicolor
12,05.09,3,04.02,01.05,iris-versicolor
13,6,02.02,4,1,iris-versicolor
14,06.01,02.09,04.07,01.04,iris-versicolor
15,05.06,02.09,03.06,01.03,iris-versicolor
16,06.07,03.01,04.04,01.04,iris-versicolor
17,05.06,3,04.05,01.05,iris-versicolor
18,05.08,02.07,04.01,1,iris-versicolor
19,06.02,02.02,04.05,01.05,iris-versicolor
20,05.06,02.05,03.09,01.01,iris-versicolor
